lambda_um,n,k
0.5081,4.255,0.072
0.5123,4.235,0.06
0.5166,4.215,0.06
0.5209,4.196,0.056
0.5254,4.177,0.053
0.5299,4.159,0.043
0.5344,4.14,0.045
0.5391,4.123,0.048
0.5438,4.106,0.044
0.5486,4.089,0.044
0.5535,4.073,0.032
0.5585,4.057,0.038
0.5636,4.042,0.032
0.5687,4.026,0.034
0.574,4.012,0.03
0.5794,3.997,0.027
0.5848,3.983,0.03
0.5904,3.969,0.03
0.5961,3.956,0.027
0.6019,3.943,0.025
0.6078,3.931,0.025
0.6138,3.918,0.024
0.6199,3.906,0.022
0.6262,3.893,0.022
0.6326,3.882,0.019
0.6391,3.87,0.018
0.6458,3.858,0.017
0.6526,3.847,0.016
0.6595,3.837,0.016
0.6666,3.826,0.015
0.6738,3.815,0.014
0.6812,3.805,0.013
0.6888,3.796,0.013
0.6965,3.787,0.013
0.7045,3.778,0.012
0.7126,3.768,0.011
0.7208,3.761,0.011
0.7293,3.752,0.01
0.738,3.745,0.01
0.7469,3.736,0.009
0.756,3.728,0.009
0.7653,3.721,0.008
0.7749,3.714,0.008
0.7847,3.705,0.007
0.7948,3.697,0.007
0.8051,3.688,0.006
0.8157,3.681,0.006
0.8266,3.673,0.005
0.8856,3.673,0.00775
0.9537,3.673,0.00226
0.9686,3.673,0.00064
0.984,3.673,0.00051
0.9999,3.673,0.0004
1.016,3.673,0.00028
1.033,3.673,0.00018
1.051,3.673,0.00012
1.069,3.673,6.7e-05
1.088,3.673,4.2e-05
1.107,3.673,2.5e-05
1.12,3.5361,2.5e-05
1.144,3.5295,1.3e-05
1.2,3.5193,1.5e-06
1.372,3.5007,1.5e-06
1.4,3.4876,1.5e-06
1.532,3.4784,1.5e-06
1.6,3.471,1.5e-06
1.696,3.4644,1.5e-06
1.8,3.4578,1.5e-06
2,3.449,1.5e-06
2.4373,3.4434,1.5e-06
2.5,3.4424,1.5e-06
2.7144,3.4393,2.5e-09
3,3.4361,2.5e-09
3.3033,3.4335,2.5e-09
3.4188,3.4327,2.5e-09
3.5,3.4321,2.5e-09
3.8,3.4321,1.3e-08
4,3.4294,1.3e-08
5,3.4261,1.99e-07
5.128,3.4261,2.82e-07
5.263,3.4261,2.97e-07
5.405,3.4261,3.26e-07
5.556,3.4261,3.94e-07
5.714,3.4261,4.05e-07
5.882,3.4261,4.17e-07
6,3.4242,4.17e-07
6.061,3.4242,5.64e-07
6.25,3.4242,8.46e-07
6.452,3.4242,1.74e-06
6.667,3.4242,2.66e-06
6.897,3.4242,2.45e-05
7,3.4231,2.45e-05
7.143,3.4231,1.68e-05
7.407,3.4231,1.62e-05
7.692,3.4231,2.49e-05
8,3.4224,1.53e-05
8.333,3.4224,2.41e-05
8.696,3.4224,5.13e-05
8.85,3.4224,7.11e-05
8.889,3.4224,6.44e-05
8.929,3.4224,8.38e-05
9,3.4219,8.38e-05
9.009,3.4219,8.46e-05
9.091,3.4219,5.49e-05
9.259,3.4219,4.72e-05
9.434,3.4219,3.75e-05
9.615,3.4219,3.67e-05
9.804,3.4219,4.84e-05
10,3.4215,6.76e-05
10.2,3.4215,0.000109
10.31,3.4215,0.000122
10.42,3.4215,0.000124
10.53,3.4215,0.000122
10.64,3.4215,0.000127
10.87,3.4215,0.000166
11.11,3.4215,0.000202
11.24,3.4215,0.000208
11.36,3.4215,0.000202
11.49,3.4215,0.000201
11.63,3.4215,0.000173
11.76,3.4215,0.000153
11.9,3.4215,0.000144
12.05,3.4215,0.000177
12.2,3.4215,0.000206
12.35,3.4215,0.000197
12.5,3.4215,0.000177
12.66,3.4215,0.000207
12.82,3.4215,0.000214
12.99,3.4215,0.000227
13.16,3.4215,0.000239
13.33,3.4215,0.000259
13.5,3.4209,0.000259
13.51,3.4209,0.000312
13.7,3.4209,0.000303
13.89,3.4209,0.000221
14.08,3.4209,0.000157
14.29,3.4209,0.000102
14.49,3.4209,0.000112
14.5,3.4208,0.000112
14.71,3.4208,0.000125
14.93,3.4208,0.000124
15,3.4207,0.000124
15.15,3.4207,0.000141
15.38,3.4207,0.000152
15.63,3.4207,0.000164
15.87,3.4207,0.000505
16.13,3.4207,0.000963
16.39,3.4207,0.00111
16.5,3.4207,0.00125
16.67,3.4207,0.000716
16.95,3.4207,0.000418
17.24,3.4207,0.000365
17.54,3.4207,0.000415
17.86,3.4207,0.000384
18.52,3.4207,0.00034
19.23,3.4207,0.000318
20,3.4204,0.000286
20.83,3.4204,0.000222
21.74,3.4204,0.000156
22.73,3.4204,0.000127
23.81,3.4204,0.000106
25,3.4201,9.15e-05
25.64,3.4201,9.39e-05
26.32,3.4201,0.000105
27.03,3.4201,0.000112
27.78,3.4201,0.000108
28.57,3.4201,0.000108
29.41,3.4201,0.000108
30.3,3.42,0.000108
33.33,3.42,0.000108
40,3.4199,0.000108
